cell,collection,product_id,fichier,type_visuel,nb_blocs_texte,classification,texte_detecte
F10,Adoucisseurs de douc,1005008295498961,01-packshot-studio.png,Packshot studio,11,texte_parasite,SFH70 | Shower Filter Head | CARE FOR YOUR HAIR & SKIN | ALTHY® | •FILTERING | Chemicel | Sedinent | Odor | VITAMIN | SHOWER | REPLACE FILTER
F10,Adoucisseurs de douc,1005008295498961,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F10,Adoucisseurs de douc,1005008295498961,03-detail-macro.png,Détail macro,0,sans_texte,
F10,Adoucisseurs de douc,1005008295498961,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F10,Adoucisseurs de douc,1005008295498961,05-infographie-benefice.png,Infographie bénéfice,2,texte_parasite,VITAMIN | SHOWER
F14,Osmoseurs (osmose in,1005012304431034,01-packshot-studio.png,Packshot studio,0,sans_texte,
F14,Osmoseurs (osmose in,1005012304431034,02-mise-en-situation.png,Mise en situation,5,texte_parasite,PURIFIED TDS | PPM | Standby | Rinse | RO
F14,Osmoseurs (osmose in,1005012304431034,03-detail-macro.png,Détail macro,0,sans_texte,
F14,Osmoseurs (osmose in,1005012304431034,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F14,Osmoseurs (osmose in,1005012304431034,05-infographie-benefice.png,Infographie bénéfice,1,texte_parasite,133
F15,Osmoseurs (osmose in,1005005652496986,01-packshot-studio.png,Packshot studio,5,texte_parasite,Punify | Standby | Rinse | Fault | OSWNKW
F15,Osmoseurs (osmose in,1005005652496986,02-mise-en-situation.png,Mise en situation,1,texte_parasite,Schematic diaeram of connector
F15,Osmoseurs (osmose in,1005005652496986,03-detail-macro.png,Détail macro,4,texte_parasite,PAC | RO | CF | OSWNKW
F15,Osmoseurs (osmose in,1005005652496986,04-lifestyle-contexte.png,Lifestyle contexte,1,texte_parasite,MANMSO
F15,Osmoseurs (osmose in,1005005652496986,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F16,Osmoseurs (osmose in,1005008768999224,01-packshot-studio.png,Packshot studio,4,texte_parasite,TDS | PP | RO | T33
F16,Osmoseurs (osmose in,1005008768999224,02-mise-en-situation.png,Mise en situation,1,texte_parasite,080
F16,Osmoseurs (osmose in,1005008768999224,03-detail-macro.png,Détail macro,11,texte_parasite,PURIFIED TDS | PPM | Standby | Purify | Rinse | Fault | PP | СТО | T33 | Power | Reset
F16,Osmoseurs (osmose in,1005008768999224,04-lifestyle-contexte.png,Lifestyle contexte,6,texte_parasite,SHUANGLI | PP | СТО | CTO CARBON FILTEY | RO | RO MEMSRANE FITER
F16,Osmoseurs (osmose in,1005008768999224,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F17,Osmoseurs (osmose in,1005009661849903,01-packshot-studio.png,Packshot studio,5,texte_parasite,Purify | Standby | Rinse | Fault | OSWNKW
F17,Osmoseurs (osmose in,1005009661849903,02-mise-en-situation.png,Mise en situation,5,texte_parasite,Schematic diagram of connector | CONCENTRATEO WATER FURE MATER | PP | RO | RO
F17,Osmoseurs (osmose in,1005009661849903,03-detail-macro.png,Détail macro,0,sans_texte,
F17,Osmoseurs (osmose in,1005009661849903,04-lifestyle-contexte.png,Lifestyle contexte,6,texte_parasite,OSWNKW | CB | RO | RO Membrane Fiter | CF | Carbon Fiber Filter
F17,Osmoseurs (osmose in,1005009661849903,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F18,Osmoseurs (osmose in,1005006982242864,01-packshot-studio.png,Packshot studio,4,texte_parasite,Membranes | Reverss Osmosis Element | Model: ULP2812-125GPD | Serial No.: 19506566
F18,Osmoseurs (osmose in,1005006982242864,02-mise-en-situation.png,Mise en situation,5,texte_parasite,Membranes | Reverse Osmosis Element | Model: ULP1812-50GPD | Serial No.: 18171366 | MADE IN CHINA
F18,Osmoseurs (osmose in,1005006982242864,03-detail-macro.png,Détail macro,0,sans_texte,
F18,Osmoseurs (osmose in,1005006982242864,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F18,Osmoseurs (osmose in,1005006982242864,05-infographie-benefice.png,Infographie bénéfice,14,texte_parasite,anic | silt | Hg | As | Heavy | Metals | Pb | • mine- | rals | Na | HO | HO | beneficial | minerals
F22,Carafes filtrantes,1005008226493006,01-packshot-studio.png,Packshot studio,0,sans_texte,
F22,Carafes filtrantes,1005008226493006,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F22,Carafes filtrantes,1005008226493006,03-detail-macro.png,Détail macro,0,sans_texte,
F22,Carafes filtrantes,1005008226493006,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F22,Carafes filtrantes,1005008226493006,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F23,Carafes filtrantes,1005006995593983,01-packshot-studio.png,Packshot studio,0,sans_texte,
F23,Carafes filtrantes,1005006995593983,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F23,Carafes filtrantes,1005006995593983,03-detail-macro.png,Détail macro,0,sans_texte,
F23,Carafes filtrantes,1005006995593983,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F23,Carafes filtrantes,1005006995593983,05-infographie-benefice.png,Infographie bénéfice,29,texte_parasite,gravel | colloid | rust | soil | Scale | Scale | Peculiar | smell | Heterochromia | Peculiar | smell | Residual | chlorine | Peculiar | smell | Residual | impurities | Impurillal | Residual | impurities | Residual | impurities | Clean | Clean | water | Clean | water | Clean | water
F24,Carafes filtrantes,1005008660249482,01-packshot-studio.png,Packshot studio,0,sans_texte,
F24,Carafes filtrantes,1005008660249482,02-mise-en-situation.png,Mise en situation,1,texte_parasite,ALTHY
F24,Carafes filtrantes,1005008660249482,03-detail-macro.png,Détail macro,0,sans_texte,
F24,Carafes filtrantes,1005008660249482,04-lifestyle-contexte.png,Lifestyle contexte,1,texte_parasite,ALTHY
F24,Carafes filtrantes,1005008660249482,05-infographie-benefice.png,Infographie bénéfice,1,texte_parasite,2.5L
F25,Carafes filtrantes,1005007117128363,01-packshot-studio.png,Packshot studio,2,texte_parasite,max | 1.3L
F25,Carafes filtrantes,1005007117128363,02-mise-en-situation.png,Mise en situation,3,texte_parasite,- max | 2.5L | 0.5L
F25,Carafes filtrantes,1005007117128363,03-detail-macro.png,Détail macro,0,sans_texte,
F25,Carafes filtrantes,1005007117128363,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F25,Carafes filtrantes,1005007117128363,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F26,Carafes filtrantes,1005010536762195,01-packshot-studio.png,Packshot studio,0,sans_texte,
F26,Carafes filtrantes,1005010536762195,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F26,Carafes filtrantes,1005010536762195,03-detail-macro.png,Détail macro,0,sans_texte,
F26,Carafes filtrantes,1005010536762195,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F26,Carafes filtrantes,1005010536762195,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F30,Filtres robinet,1005006783135107,01-packshot-studio.png,Packshot studio,0,sans_texte,
F30,Filtres robinet,1005006783135107,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F30,Filtres robinet,1005006783135107,03-detail-macro.png,Détail macro,0,sans_texte,
F30,Filtres robinet,1005006783135107,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F30,Filtres robinet,1005006783135107,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F31,Filtres robinet,1005007344985457,01-packshot-studio.png,Packshot studio,0,sans_texte,
F31,Filtres robinet,1005007344985457,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F31,Filtres robinet,1005007344985457,03-detail-macro.png,Détail macro,0,sans_texte,
F31,Filtres robinet,1005007344985457,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F31,Filtres robinet,1005007344985457,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F32,Filtres robinet,1005007636231647,01-packshot-studio.png,Packshot studio,0,sans_texte,
F32,Filtres robinet,1005007636231647,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F32,Filtres robinet,1005007636231647,03-detail-macro.png,Détail macro,0,sans_texte,
F32,Filtres robinet,1005007636231647,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F32,Filtres robinet,1005007636231647,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F33,Filtres robinet,1005005956268410,01-packshot-studio.png,Packshot studio,0,sans_texte,
F33,Filtres robinet,1005005956268410,02-mise-en-situation.png,Mise en situation,1,texte_parasite,stop
F33,Filtres robinet,1005005956268410,03-detail-macro.png,Détail macro,0,sans_texte,
F33,Filtres robinet,1005005956268410,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F33,Filtres robinet,1005005956268410,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F34,Filtres robinet,1005007009738834,01-packshot-studio.png,Packshot studio,0,sans_texte,
F34,Filtres robinet,1005007009738834,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F34,Filtres robinet,1005007009738834,03-detail-macro.png,Détail macro,0,sans_texte,
F34,Filtres robinet,1005007009738834,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F34,Filtres robinet,1005007009738834,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F38,Purificateurs portab,1005009916306044,01-packshot-studio.png,Packshot studio,1,texte_parasite,Water Filter Straw
F38,Purificateurs portab,1005009916306044,02-mise-en-situation.png,Mise en situation,2,texte_parasite,^ WIDESEA® | Water Filter Straw
F38,Purificateurs portab,1005009916306044,03-detail-macro.png,Détail macro,2,texte_parasite,A WIDE | Water Filter Straw
F38,Purificateurs portab,1005009916306044,04-lifestyle-contexte.png,Lifestyle contexte,0,sans_texte,
F38,Purificateurs portab,1005009916306044,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F43,Anti-calcaire électr,1005007540052398,01-packshot-studio.png,Packshot studio,1,texte_parasite,ALTHY
F43,Anti-calcaire électr,1005007540052398,02-mise-en-situation.png,Mise en situation,0,sans_texte,
F43,Anti-calcaire électr,1005007540052398,03-detail-macro.png,Détail macro,0,sans_texte,
F43,Anti-calcaire électr,1005007540052398,04-lifestyle-contexte.png,Lifestyle contexte,1,texte_parasite,ALTHY
F43,Anti-calcaire électr,1005007540052398,05-infographie-benefice.png,Infographie bénéfice,0,sans_texte,
F44,Anti-calcaire électr,1005001541608902,01-packshot-studio.png,Packshot studio,4,INTERDIT_claim,CPTDCL | Electronic Descaler | Water Conditioner | (ROHS
