ligne,produit,type_image,statut,chemin,coût_estimé
4,Livre de coloriage magique à l'eau (enfant),PACKSHOT,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_1_packshot.png,0.000
4,Livre de coloriage magique à l'eau (enfant),LIFESTYLE,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_2_lifestyle.png,0.000
4,Livre de coloriage magique à l'eau (enfant),EN SITUATION,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_3_en_situation.png,0.000
4,Livre de coloriage magique à l'eau (enfant),DÉTAIL,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_4_detail.png,0.000
4,Livre de coloriage magique à l'eau (enfant),FEATURE,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_5_feature.png,0.000
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",PACKSHOT,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_1_packshot.png,0.000
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",LIFESTYLE,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_2_lifestyle.png,0.000
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",EN SITUATION,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_3_en_situation.png,0.000
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",DÉTAIL,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_4_detail.png,0.000
5,"Livre de coloriage Cozy Japan (adulte, 28 p.)",FEATURE,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/05_livre-de-coloriage-cozy-japan-adulte-28-p/carousel_5_feature.png,0.000
home-5,HOME — Hero desktop,HOME/COLLECTION,généré-outil-intégré,/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/_home_collections/05_home-hero-desktop.png,0.000
4,Livre de coloriage magique à l'eau (enfant),PACKSHOT,"error: ValueError: Invalid output /Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_1_packshot.png: format=PNG, size=(1254, 1254), expected=(1024, 1024)",/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_1_packshot.png,0.000
4,Livre de coloriage magique à l'eau (enfant),LIFESTYLE,"error: ValueError: Invalid output /Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_2_lifestyle.png: format=PNG, size=(1254, 1254), expected=(1024, 1024)",/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_2_lifestyle.png,0.000
4,Livre de coloriage magique à l'eau (enfant),EN SITUATION,"error: ValueError: Invalid output /Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_3_en_situation.png: format=PNG, size=(1254, 1254), expected=(1024, 1024)",/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_3_en_situation.png,0.000
4,Livre de coloriage magique à l'eau (enfant),DÉTAIL,"error: ValueError: Invalid output /Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_4_detail.png: format=PNG, size=(1254, 1254), expected=(1024, 1024)",/Users/Hakim/Documents/New project/outputs/coloriage-kawaii-arborescence-2026-07-09/images_generees/04_livre-de-coloriage-magique-a-l-eau-enfant/carousel_4_detail.png,0.000
