row	product	keyword	shopping_competitors	search_competitors	has_institutional	institutionals	non_institutionals	avg_price	price_range
5	Lit baldaquin adulte metal forge 160x200	lit baldaquin	VoilOra (89.90 EUR) ; Beliani FR (480 EUR) ; Ciel de Lin (193.90 EUR) ; Loberon France (1698 EUR) ; Maisons du Monde (2199 EUR) ; Meuble House (1190 EUR) ; VoilOra (109.90 EUR) ; Kasa-Store.com (630 EUR) ; Maisons du Monde (629 EUR) ; Beliani FR (570 EUR) ; Maison Pavane (1009 EUR) ; Ciel de Lin (184.90 EUR) ; Jarditeck by Médicis (2449 EUR) ; Beliani FR (400 EUR)	Maisons du Monde (566.10 EUR) ; Beliani FR (480 EUR) ; Loberon France (1698 EUR) ; Ciel de Lin (184.90 EUR) ; westwing.fr (899 EUR) ; Beliani FR (350 EUR) ; Maisons du Monde (764.10 EUR) ; premiumxl FR (173 EUR) ; BUT ; IKEA ; meubles.fr ; le-monde-du-lit.fr ; meubledestyle.fr ; emma.fr	OUI	Maisons du Monde ; Kaufland.fr ; ManoMano.fr ; Castorama ; Conforama ; La Redoute ; BUT ; IKEA	VoilOra ; Beliani FR ; Ciel de Lin ; Loberon France ; Meuble House ; Kasa-Store.com ; Maison Pavane ; Jarditeck by Médicis ; westwing.fr ; premiumxl FR ; Get Laid Beds FR ; Tectona ; home24.fr ; Pamono.fr	661 EUR	173 EUR - 1869.15 EUR
6	Fauteuil suspendu cocon oeuf en rotin naturel	fauteuil suspendu	Kave Home (250 EUR) ; Miliboo.com (406 EUR) ; Pierimport (226.85 EUR) ; Kave Home (459 EUR) ; lasiesta.com (109.90 EUR) ; ToyAcademy.fr (239 EUR) ; Kave Home (589 EUR) ; Hespéride (149 EUR) ; Eminza (399 EUR) ; Vente-unique.com (220 EUR) ; Maisons du Monde (359 EUR) ; Nature & Découvertes (299 EUR) ; Pierimport (324.35 EUR) ; ManoMano.fr (125.99 EUR)	lasiesta.com (449 EUR) ; Miliboo.com (406 EUR) ; Loberon France (698 EUR) ; Kave Home (529 EUR) ; RoyalHomeDesign (679 EUR) ; Lazena (289.90 EUR) ; Eminza (399 EUR) ; Hespéride (499 EUR) ; hesperide.com ; Leroy Merlin ; beliani.fr ; jardiland.com ; action.com	OUI	Maisons du Monde ; Nature & Découvertes ; ManoMano.fr ; Jardiland ; La Redoute ; Leroy Merlin ; jardiland.com	Kave Home ; Miliboo.com ; Pierimport ; lasiesta.com ; ToyAcademy.fr ; Hespéride ; Eminza ; Vente-unique.com ; sweeek ; Loberon France ; Beliani FR ; Uniqka Design ; Homary.com ; Aosom.fr	370.03 EUR	109.90 EUR - 698 EUR
7	Robot nettoyeur de piscine electrique sur fil	robot piscine	Beatbot France (1049 EUR) ; Beatbot France (578 EUR) ; ecovacs.com/fr (549 EUR) ; AliExpress (11 EUR) ; Beatbot France (1799 EUR) ; ManoMano.fr (300 EUR) ; Beatbot France (1099 EUR) ; compagnonsducoeur (359 EUR) ; Piscineo (399 EUR) ; Piscine Zyke (466 EUR) ; Cdiscount (299 EUR) ; Distripool (10 EUR) ; Bricoandpool (109 EUR) ; Maytronics France (1799 EUR)	Piscineo (469 EUR) ; Piscine Zyke (466 EUR) ; Beatbot France (578 EUR) ; Bricoandpool (345 EUR) ; Piscineo (399 EUR) ; Distripool (645 EUR) ; Piscine Zyke (683 EUR) ; Beatbot France (1049 EUR) ; fr.beatbot.com ; piscineo.com ; piscine-center.net ; cash-piscines.com ; robotpiscine.com ; mypiscine.com	OUI	AliExpress ; ManoMano.fr ; Cdiscount ; Darty ; AliExpress - AliExpress-2681210425 ; Amazon.fr ; Fnac ; Castorama ; AliExpress - AliExpress-6135359962 ; AliExpress - AliExpress-6632094767 ; Leroy Merlin	Beatbot France ; ecovacs.com/fr ; compagnonsducoeur ; Piscineo ; Piscine Zyke ; Distripool ; Bricoandpool ; Maytronics France ; Mypiscine.com ; Aiper ; Piscine Discount ; Mammotion FR ; joybuy.fr ; eRobot-Piscine.fr	529.10 EUR	109 EUR - 1199 EUR
8	Auvent marquise aluminium polycarbonate 6 m	marquise de porte	Agrifournitures.fr (1498.81 EUR) ; Agrifournitures.fr (947.28 EUR) ; Canopia FR (369 EUR) ; Dancovershop.fr (273.93 EUR) ; MonAménagementMaison (326.76 EUR) ; Fenetre24 (238.85 EUR) ; Lapeyre.fr (186.05 EUR) ; Leroy Merlin (449 EUR) ; Castorama (379.90 EUR) ; Canopia FR (151 EUR) ; vevor.fr (91.90 EUR) ; Agrifournitures.fr (1353.67 EUR) ; Canopia FR (285 EUR) ; Fenetre24 (229.49 EUR)	Dancovershop.fr (273.93 EUR) ; Agrifournitures.fr (1498.81 EUR) ; Fenetre24 (238.85 EUR) ; Loberon France (198 EUR) ; www.priximbattable.net (151.98 EUR) ; Dancovershop.fr (416.76 EUR) ; Dancovershop.fr (586.03 EUR) ; Dancovershop.fr (1172.20 EUR) ; Leroy Merlin ; auvent-marquise-france.fr ; neo10.com ; mon-abri-de-jardin.com ; lapeyre.fr ; pointp.fr	OUI	Leroy Merlin ; Castorama ; Amazon.fr ; ManoMano.fr	Agrifournitures.fr ; Canopia FR ; Dancovershop.fr ; MonAménagementMaison ; Fenetre24 ; Lapeyre.fr ; vevor.fr ; McCover.com ; Vounot ; Loberon France ; Vente-unique.com ; www.priximbattable.net ; Woodup ; tectake.fr	416.83 EUR	150.36 EUR - 1498.81 EUR
9	Recuperateur eau de pluie mural design 800 L	récupérateur eau de pluie	KRÖMM (179 EUR) ; Agrifournitures.fr (335.88 EUR) ; C&J France Diffusion (175 EUR) ; Jardideco.fr (413.10 EUR) ; Leroy Merlin (50 EUR) ; Castorama (43.90 EUR) ; Carrefour (79.99 EUR) ; Brico Dépôt (85.90 EUR) ; Jardideco.fr (409.50 EUR) ; Cover Green (475 EUR) ; C&J France Diffusion (179 EUR) ; Leroy Merlin (199 EUR) ; Castorama (179.90 EUR) ; E.Leclerc (159 EUR)	Manutan.fr (762 EUR) ; C&J France Diffusion (269 EUR) ; Cover Green (475 EUR) ; KRÖMM (179 EUR) ; Cuve-shop.fr (1845.60 EUR) ; Cuve-shop.fr (1523.40 EUR) ; Cuve-shop.fr (2130.12 EUR) ; Achatmat (3996 EUR) ; Leroy Merlin ; containers-service.eu ; product-selection.grundfos.com ; aluhome.fr ; multicuves.com ; boutique-eda.com	OUI	Leroy Merlin ; Castorama ; Carrefour ; Brico Dépôt ; E.Leclerc ; ManoMano.fr ; Amazon.fr ; Truffaut	KRÖMM ; Agrifournitures.fr ; C&J France Diffusion ; Jardideco.fr ; Cover Green ; Camif ; Mon Marché Déco ; Permacool ; L' Entrepôt du Bricolage ; vevor.fr ; Atout Loisir ; OOGarden.com ; Manutan.fr ; Cuve-shop.fr	451.06 EUR	150 EUR - 1523.40 EUR
10	Fauteuil de massage Shiatsu 4D electrique	fauteuil de massage	Quirumed Fournitures Médicales (1565 EUR) ; Quirumed Fournitures Médicales (1509.95 EUR) ; Quirumed Fournitures Médicales (2119.99 EUR) ; Quirumed Fournitures Médicales (1800 EUR) ; Salonplus.fr (889 EUR) ; Quirumed Fournitures Médicales (1235 EUR) ; Quirumed Fournitures Médicales (624.95 EUR) ; Quirumed Fournitures Médicales (684.95 EUR) ; Quirumed Fournitures Médicales (2099.99 EUR) ; Quirumed Fournitures Médicales (1275 EUR) ; Quirumed Fournitures Médicales (1749.95 EUR) ; Quirumed Fournitures Médicales (2049.95 EUR) ; vevor.fr (1060.90 EUR) ; ZenGrowth.fr (379 EUR)	Global Relax (9499.99 EUR) ; Lunzofrance.fr (5354.54 EUR) ; bstore.eu (741.46 EUR) ; Burolia (713.44 EUR) ; Detentation (3499 EUR) ; Global Relax (12999.99 EUR) ; Global Relax (4999.99 EUR) ; Global Relax (6499.99 EUR) ; nostresspro.com ; komoder.fr ; dcore-japan.com ; detentation.com ; sante-forme.com ; fauteuil-massant-bien-etre.com	OUI	Kaufland.fr	Quirumed Fournitures Médicales ; Salonplus.fr ; vevor.fr ; ZenGrowth.fr ; Global Relax ; Fitshop.fr ; Gorilla Sports France ; Aosom.fr ; Juskys Frankreich ; Lunzofrance.fr ; Vente-unique.com ; bstore.eu ; Burolia ; Detentation	1187.31 EUR	241 EUR - 2119.99 EUR
11	Fauteuil accent rattan Afrohemian	fauteuil en rotin	Tikamoon (129 EUR) ; Sklum (62.95 EUR) ; GGM Möbel (466.86 EUR) ; tectake.fr (749.90 EUR) ; Becquet (249.90 EUR) ; Sklum (64.95 EUR) ; mobilierhotellerie.com (42.10 EUR) ; Uniqka Design (221.40 EUR) ; Retif (146.68 EUR) ; Made in Meubles (95 EUR) ; Berah Getah (329 EUR) ; Vannerie Hollande (146.50 EUR) ; Sklum (589.95 EUR) ; BOS Équipement (82.80 EUR)	Loberon France (398 EUR) ; Berah Getah (279.65 EUR) ; Themasie.com (239.95 EUR) ; jardindechloe.com (1299 EUR) ; Nisbets.fr (239.98 EUR) ; Miliboo.com (406 EUR) ; jardindechloe.com (3799 EUR) ; jardindechloe.com (549 EUR) ; brindouest.com ; kokmaison.com ; IKEA ; meubles-rotin-pacific.fr ; lavanneriedaujourdhui.fr ; idealo.fr	OUI	La Redoute ; Maisons du Monde ; IKEA	Tikamoon ; Sklum ; GGM Möbel ; tectake.fr ; Becquet ; mobilierhotellerie.com ; Uniqka Design ; Retif ; Made in Meubles ; Berah Getah ; Vannerie Hollande ; BOS Équipement ; Zago Store ; Pierimport	386.89 EUR	129 EUR - 1299 EUR
12	Tapis de course pliable motorise 3CV	tapis de course pliable	HomeFitnessCode-FR (119.99 EUR) ; WalkingPad FR (849 EUR) ; Atletica (1249 EUR) ; HomeFitnessCode-FR (220 EUR) ; FitnessBoutique FR (849 EUR) ; HomeFitnessCode-FR (109.99 EUR) ; Trex Sport FR (807.49 EUR) ; hop-sport.fr (1120 EUR) ; HomeFitnessCode-FR (190 EUR) ; WalkingPad FR (800 EUR) ; SportsHero FR (399 EUR) ; AliExpress (11 EUR) ; Sportconic (329 EUR) ; Merach FR (900 EUR)	jedco-france.com (140 EUR) ; Trex Sport FR (726.74 EUR) ; Atletica (949 EUR) ; Vytora (399 EUR) ; ihoverboard.fr (125.99 EUR) ; urbanowheels (170 EUR) ; Renewfit (3174 EUR) ; Atletica (1079 EUR) ; akoara.com ; Decathlon ; carefitness.com ; Amazon.fr ; flexispot.fr ; fr.walkingpad.com	OUI	AliExpress ; Amazon.fr ; Decathlon ; Conforama ; Cdiscount	HomeFitnessCode-FR ; WalkingPad FR ; Atletica ; FitnessBoutique FR ; Trex Sport FR ; hop-sport.fr ; SportsHero FR ; Sportconic ; Merach FR ; sports-tech.fr ; Powergym ; Joroto Europe ; Care Fitness FR ; Umayfitness EU	615.56 EUR	140 EUR - 1749 EUR
13	Table de cuisine camping pliante aluminium avec rangement	table de camping	MobEventPro (34.90 EUR) ; Akord Meubles (44 EUR) ; AliExpress (21.47 EUR) ; Aktive FR (29.95 EUR) ; Bernard Pro (245.94 EUR) ; FAP Collectivités (59.58 EUR) ; Castorama (49.90 EUR) ; SkyLantern (28.95 EUR) ; Interouge (47.20 EUR) ; MobEventPro (99 EUR) ; Aosom.fr (47.90 EUR) ; deubaxxl.fr (69.99 EUR) ; Dometic (149 EUR) ; Amazon.fr (29.16 EUR)	Decathlon ; berger-camping.fr ; gifi.fr ; trigano-camping.com ; grandsommet.com ; deubaxxl.fr ; action.com ; lejournaldelamaison.fr	OUI	AliExpress ; Castorama ; Amazon.fr ; Decathlon.fr ; Leroy Merlin ; Decathlon ; gifi.fr	MobEventPro ; Akord Meubles ; Aktive FR ; Bernard Pro ; FAP Collectivités ; SkyLantern ; Interouge ; Aosom.fr ; deubaxxl.fr ; Dometic ; tectake.fr ; Table Polyethylene ; Obelink.fr ; BOXIO	99.88 EUR	56.90 EUR - 245.94 EUR
14	Panneaux acoustiques tasseaux bois pour mur complet	panneau acoustique bois	Aku Woodpanel FR (120.95 EUR) ; Nimara.fr (29.90 EUR) ; Cazoov (49.90 EUR) ; Aku Woodpanel FR (112.95 EUR) ; HelloWallsFR (159.95 EUR) ; But (40 EUR) ; Leroy Merlin (29.90 EUR) ; bymydeco (75 EUR) ; Nimara.fr (24.90 EUR) ; Aku Woodpanel FR (97.95 EUR) ; Walleu (74.90 EUR) ; Aku Woodpanel FR (71.95 EUR) ; Silent Wood Acoustic Panels (35 EUR) ; Castorama (99.90 EUR)	Silamp (190 EUR) ; Floor Family (89 EUR) ; Cazoov (49.90 EUR) ; WallRibbon France (164.25 EUR) ; greenweez.com (64 EUR) ; juglana.com (35 EUR) ; Silamp (170 EUR) ; Aku Woodpanel FR (120.95 EUR) ; bymydeco.fr ; Leroy Merlin ; correction-acoustique.fr ; woodupp.fr ; woodvibe.fr ; planeo.fr	OUI	But ; Leroy Merlin ; Castorama	Aku Woodpanel FR ; Nimara.fr ; Cazoov ; HelloWallsFR ; bymydeco ; Walleu ; Silent Wood Acoustic Panels ; Floor Family ; MPDiscount ; ProduceShop ; juglana.com ; Silamp ; sarmis ; WallRibbon France	162.78 EUR	89 EUR - 380 EUR
